index,host,date,ver,nb_run,nb_build,cpu,BLAKE2-256,SR25519-Verify,Copy,Seq_Write,Rnd_Write,toolchain,arch,codegen-units,lto,opt-level
53,fernando-bue,2025-Nov-28_08h03,stable2509-2,8,official,0.0,1660.0,1540.0,1.13,4700.0,1260.0,unknown,unknown,1,true,3
54,fernando-bue,2025-Nov-28_08h03,stable2509-2,8,4,0.0,1590.0,1470.0,1.88,13290.0,1260.0,nightly,native,16,fat,3
55,fernando-bue,2025-Nov-28_08h03,stable2509-2,7,0,0.0,1580.0,1480.0,1.45,16770.0,1250.0,stable,native,1,fat,3
56,fernando-bue,2025-Nov-28_08h03,stable2509-2,12,3,0.0,1580.0,1470.0,1.74,24530.0,1300.0,nightly,native,1,thin,2
57,fernando-bue,2025-Nov-28_08h03,stable2509-2,10,official,0.0,1660.0,1500.0,1.05,15740.0,1260.0,unknown,unknown,1,true,3
58,fernando-bue,2025-Nov-28_08h03,stable2509-2,11,0,0.0,1580.0,1480.0,1.44,16110.0,1260.0,stable,native,1,fat,3
59,fernando-bue,2025-Nov-28_08h03,stable2509-2,1,3,0.1,1580.0,1480.0,1.75,24700.0,1310.0,nightly,native,1,thin,2
60,fernando-bue,2025-Nov-28_08h03,stable2509-2,14,0,0.0,1580.0,1470.0,1.28,25500.0,1310.0,stable,native,1,fat,3
61,fernando-bue,2025-Nov-28_08h03,stable2509-2,11,4,0.0,1580.0,1480.0,1.67,24640.0,1310.0,nightly,native,16,fat,3
62,fernando-bue,2025-Nov-28_08h03,stable2509-2,3,4,0.0,1580.0,1470.0,1.68,24700.0,1310.0,nightly,native,16,fat,3
63,fernando-bue,2025-Nov-28_08h03,stable2509-2,6,4,0.0,1580.0,1470.0,1.68,23850.0,1310.0,nightly,native,16,fat,3
64,fernando-bue,2025-Nov-28_08h03,stable2509-2,5,2,0.0,1580.0,1470.0,1.74,25340.0,1310.0,nightly,native,1,fat,2
65,fernando-bue,2025-Nov-28_08h03,stable2509-2,16,2,0.0,1580.0,1480.0,1.94,16470.0,1250.0,nightly,native,1,fat,2
66,fernando-bue,2025-Nov-28_08h03,stable2509-2,4,0,0.1,1580.0,1480.0,1.28,25380.0,1310.0,stable,native,1,fat,3
67,fernando-bue,2025-Nov-28_08h03,stable2509-2,18,2,0.1,1580.0,1470.0,1.91,4720.0,1260.0,nightly,native,1,fat,2
68,fernando-bue,2025-Nov-28_08h03,stable2509-2,9,1,0.0,1440.0,1480.0,1.34,16340.0,1260.0,stable,native,16,fat,3
69,fernando-bue,2025-Nov-28_08h03,stable2509-2,1,4,0.0,1580.0,1480.0,1.68,25130.0,1270.0,nightly,native,16,fat,3
70,fernando-bue,2025-Nov-28_08h03,stable2509-2,14,2,0.0,1580.0,1480.0,1.98,16550.0,1260.0,nightly,native,1,fat,2
71,fernando-bue,2025-Nov-28_08h03,stable2509-2,13,official,0.1,1660.0,1550.0,1.11,24690.0,1290.0,unknown,unknown,1,true,3
72,fernando-bue,2025-Nov-28_08h03,stable2509-2,0,3,0.0,1440.0,1480.0,1.97,16180.0,1260.0,nightly,native,1,thin,2
73,fernando-bue,2025-Nov-28_08h03,stable2509-2,11,1,0.0,1440.0,1470.0,1.44,16630.0,1260.0,stable,native,16,fat,3
74,fernando-bue,2025-Nov-28_08h03,stable2509-2,17,1,0.0,1580.0,1470.0,1.41,16329.999999999998,1260.0,stable,native,16,fat,3
75,fernando-bue,2025-Nov-28_08h03,stable2509-2,7,4,0.0,1580.0,1470.0,1.84,6570.0,1260.0,nightly,native,16,fat,3
76,fernando-bue,2025-Nov-28_08h03,stable2509-2,18,4,0.0,1580.0,1480.0,1.9,14330.0,1260.0,nightly,native,16,fat,3
77,fernando-bue,2025-Nov-28_08h03,stable2509-2,6,1,0.0,1580.0,1480.0,1.27,23470.0,1280.0,stable,native,16,fat,3
78,fernando-bue,2025-Nov-28_08h03,stable2509-2,8,0,0.0,1580.0,1480.0,1.27,25280.0,1300.0,stable,native,1,fat,3
79,fernando-bue,2025-Nov-28_08h03,stable2509-2,14,4,0.1,1580.0,1480.0,1.7,23790.0,1310.0,nightly,native,16,fat,3
80,fernando-bue,2025-Nov-28_08h03,stable2509-2,13,3,0.0,1580.0,1480.0,1.93,16239.999999999998,1260.0,nightly,native,1,thin,2
81,fernando-bue,2025-Nov-28_08h03,stable2509-2,17,3,0.0,1580.0,1480.0,1.98,16059.999999999998,1260.0,nightly,native,1,thin,2
82,fernando-bue,2025-Nov-28_08h03,stable2509-2,12,2,0.0,1440.0,1480.0,1.97,16219.999999999998,1250.0,nightly,native,1,fat,2
83,fernando-bue,2025-Nov-28_08h03,stable2509-2,16,3,0.0,1580.0,1480.0,1.77,25130.0,1300.0,nightly,native,1,thin,2
84,fernando-bue,2025-Nov-28_08h03,stable2509-2,15,4,0.1,1580.0,1480.0,1.68,23920.0,1280.0,nightly,native,16,fat,3
85,fernando-bue,2025-Nov-28_08h03,stable2509-2,4,1,0.0,1580.0,1480.0,1.28,17600.0,1250.0,stable,native,16,fat,3
86,fernando-bue,2025-Nov-28_08h03,stable2509-2,12,0,0.0,1580.0,1470.0,1.27,23440.0,1310.0,stable,native,1,fat,3
87,fernando-bue,2025-Nov-28_08h03,stable2509-2,5,3,0.0,1580.0,1480.0,1.74,24600.0,1310.0,nightly,native,1,thin,2
88,fernando-bue,2025-Nov-28_08h03,stable2509-2,5,0,0.0,1440.0,1480.0,1.39,16490.0,1260.0,stable,native,1,fat,3
89,fernando-bue,2025-Nov-28_08h03,stable2509-2,11,official,0.0,1650.0,1450.0,0.98178,20070.0,1310.0,unknown,unknown,1,true,3
90,fernando-bue,2025-Nov-28_08h03,stable2509-2,12,1,0.0,1580.0,1470.0,1.27,24810.0,1300.0,stable,native,16,fat,3
91,fernando-bue,2025-Nov-28_08h03,stable2509-2,0,official,0.0,1660.0,1540.0,1.13,25400.0,1260.0,unknown,unknown,1,true,3
92,fernando-bue,2025-Nov-28_08h03,stable2509-2,0,1,0.0,1580.0,1470.0,1.28,23260.0,1290.0,stable,native,16,fat,3
93,fernando-bue,2025-Nov-28_08h03,stable2509-2,0,0,0.0,1580.0,1480.0,1.27,25340.0,1300.0,stable,native,1,fat,3
94,fernando-bue,2025-Nov-28_08h03,stable2509-2,2,0,0.1,1580.0,1480.0,1.28,24780.0,1290.0,stable,native,1,fat,3
95,fernando-bue,2025-Nov-28_08h03,stable2509-2,16,official,0.0,1660.0,1540.0,1.27,4600.0,1260.0,unknown,unknown,1,true,3
96,fernando-bue,2025-Nov-28_08h03,stable2509-2,18,official,0.1,1660.0,1450.0,1.13,25200.0,1310.0,unknown,unknown,1,true,3
97,fernando-bue,2025-Nov-28_08h03,stable2509-2,10,4,0.0,1440.0,1480.0,1.9,16480.0,1260.0,nightly,native,16,fat,3
98,fernando-bue,2025-Nov-28_08h03,stable2509-2,15,official,0.0,1510.0,1440.0,1.12,24780.0,1290.0,unknown,unknown,1,true,3
99,fernando-bue,2025-Nov-28_08h03,stable2509-2,6,3,0.0,1580.0,1480.0,1.94,11450.0,1260.0,nightly,native,1,thin,2
100,fernando-bue,2025-Nov-28_08h03,stable2509-2,0,4,0.0,1580.0,1480.0,1.68,25190.0,1290.0,nightly,native,16,fat,3
101,fernando-bue,2025-Nov-28_08h03,stable2509-2,1,0,0.0,1580.0,1480.0,1.28,6070.0,1310.0,stable,native,1,fat,3
102,fernando-bue,2025-Nov-28_08h03,stable2509-2,2,3,0.0,1580.0,1480.0,1.94,15980.0,1260.0,nightly,native,1,thin,2
103,fernando-bue,2025-Nov-28_08h03,stable2509-2,19,3,0.0,1580.0,1480.0,1.96,16219.999999999998,1260.0,nightly,native,1,thin,2
104,fernando-bue,2025-Nov-28_08h03,stable2509-2,17,2,0.0,1580.0,1470.0,1.75,24550.0,1280.0,nightly,native,1,fat,2
105,fernando-bue,2025-Nov-28_08h03,stable2509-2,14,1,0.1,1580.0,1470.0,1.26,24000.0,1290.0,stable,native,16,fat,3
106,fernando-bue,2025-Nov-28_08h03,stable2509-2,12,official,0.0,1640.0,1470.0,1.29,16510.0,1270.0,unknown,unknown,1,true,3
107,fernando-bue,2025-Nov-28_08h03,stable2509-2,1,2,0.0,1550.0,1480.0,1.75,25230.0,1310.0,nightly,native,1,fat,2
108,fernando-bue,2025-Nov-28_08h03,stable2509-2,18,3,0.0,1580.0,1480.0,1.77,24590.0,1290.0,nightly,native,1,thin,2
109,fernando-bue,2025-Nov-28_08h03,stable2509-2,13,0,0.1,1440.0,1480.0,1.4,16129.999999999998,1260.0,stable,native,1,fat,3
110,fernando-bue,2025-Nov-28_08h03,stable2509-2,2,official,0.1,1660.0,1520.0,1.15,16309.999999999998,1250.0,unknown,unknown,1,true,3
111,fernando-bue,2025-Nov-28_08h03,stable2509-2,10,2,0.0,1580.0,1480.0,1.75,25430.0,1310.0,nightly,native,1,fat,2
112,fernando-bue,2025-Nov-28_08h03,stable2509-2,11,3,0.0,1440.0,1470.0,1.93,16200.0,1260.0,nightly,native,1,thin,2
113,fernando-bue,2025-Nov-28_08h03,stable2509-2,10,3,0.1,1580.0,1470.0,1.75,24630.0,1310.0,nightly,native,1,thin,2
114,fernando-bue,2025-Nov-28_08h03,stable2509-2,3,1,0.0,1580.0,1480.0,1.25,24840.0,1290.0,stable,native,16,fat,3
115,fernando-bue,2025-Nov-28_08h03,stable2509-2,2,4,0.0,1440.0,1480.0,1.84,16290.0,1260.0,nightly,native,16,fat,3
116,fernando-bue,2025-Nov-28_08h03,stable2509-2,3,3,0.0,1580.0,1480.0,1.75,24640.0,1300.0,nightly,native,1,thin,2
117,fernando-bue,2025-Nov-28_08h03,stable2509-2,8,3,0.0,1580.0,1470.0,1.88,14710.0,1260.0,nightly,native,1,thin,2
118,fernando-bue,2025-Nov-28_08h03,stable2509-2,4,4,0.1,1580.0,1470.0,1.67,24430.0,1310.0,nightly,native,16,fat,3
119,fernando-bue,2025-Nov-28_08h03,stable2509-2,11,2,0.0,1580.0,1480.0,1.77,24880.0,1290.0,nightly,native,1,fat,2
